"Looking for some beautiful images. Having a really crappy week, and need some support. #depression. Post some great beauty.  Thank you.",1
"When teens feel down, there are ways they can cope with these feelings to avoid serious #depression, such as make new friends or social connections and participate in sports or school activities. Call Focus & Balance at 210-858-9980 to learn more and see how we can help.  pic.twitter.com/ydrYcTBD2r",0
"All up in my #depression feels, today... fuckkkk  pic.twitter.com/gNza4Pzn0p",1
#depression  A word that not many people understand. A word that many people fear.  A word that should be spoken about more freely. A word that shouldn't hold any shame.  A word with no jokey come backs.  DEPRESSION it's not a swear word.  It's ok not to be ok #DepressionIsReal,0
Why is my life so cruel????? #depression,1
#Depression only exists in a brain that ACCEPTS IT???? #WALLPAPER pic.twitter.com/bfLLvZRwmn,0
"when you care about someone and trying to help them, just hope they listen and keep positive thoughts. When they’re in “depressed” #depression wish I can help her. Talk with her make her smile",0
Some thoughts on #depression about a month into my latest episode ????  pic.twitter.com/P6I7bMMBFc,0
"If someone has the courage & trust to share their struggles of #depression or #suicide ideation with you, PLEASE, please be there to listen & support  them! You may be the only person with whom they've been able to open up to. It's not easy to reach out!",0
"Always here, right? I'd like to see five of my friends post this message (Not share) to show u are always there if someone needs to talk. I think I know who will. ???? #depression kills ????",1
"???????????? ???? ???????????????????????????? ???? ???????? ?? ???????????????? ???? ?????? ?????? ??????????????, ?? ???? ?????? ?????? ?????? ??????. #depression",0
Heal me???? #art #watercolor #depression  pic.twitter.com/L8QPWAbvZO,0
"#Geriatrics & #Depression: Depression affects many older adults receiving home care, but often is not properly treated.  pic.twitter.com/pusuXIK4gp",0
"Depression may carry a feeling of worthlessness in which you feel like you can't do anything. This only makes you feel worse about yourself and drags you into an even deeper state of #depression. To push back, set small daily #goals for yourself that you can accomplish for sure! pic.twitter.com/VhC03lIbpW",0
"If you’re feeling depressed know that your not alone. Know I see u, I hear u and I support you. Know that I am masters level trained therapist. Know that while it’s ok to pray it’s ok to seek Professional help too. Know that Black people men and women are not immune. #depression  pic.twitter.com/91hb9sz8se",0
My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so what’s the point of going? #depression #anxietydisorder,1
"With my #depression I find there is often a unattached feeling of despair that attaches itself to moments, the more fitting a moment the more it expands. People then think it's the sad moment that's the issue, but even without that, the depression is still there.",1
"Suffering from serious depression ????  Sucks my plans, times everything ???? #unknown #reason #depression ",1
I don't know but today is such a bad day. So much is floating around in my head and I don't wanna do anything. Just wanna lay in bed and cry over how useless and worthless I am. I hate my #depression,1
"Waiting for my ins. to kick in so I can get treated for depression. Until then, for a mere 50 cents I can feed these turtles. They make shit therapists though. They keep telling me to drown myself in their pond so I can become one of them. It’s not bad they say ???????????. #depression  pic.twitter.com/0QJRWUgAPH – at McGough Nature Park",1
Exercise is a powerful tool for dealing with #depression,0
Adulting day #1772 (1) - (thread)  Major depressive episode hit last night... #depression #DepressionIsReal pic.twitter.com/v5XIiYG8aS,0
"""AUTISM AND DEPRESSION""  ... I hate it when I get the feels... If you suffer from autism, you'll probably get this image...  #autism #depression  pic.twitter.com/rz3zmMaK9a",1
"I have never experienced more of an emotional rollercoaster like I did with my #anxiety and #depression than I did yesterday. Not since I was at least 19. The guilt I feel today for how I treated my child is immense. These disorders are no joke. I'm sorry and I love you, Bug.",1
"We would like to have a conversation on Twitter with an athletic trainer, about the effects seen on #depression and #anxiety when a person with these issues has begun training. We know you're out there! Share your experience and let us amplify it for others!",0
"Quote: “ #Stress, #anxiety and #depression are caused when we are living to please others.” Paulo Coelho  pic.twitter.com/Cy8zun5IFm",0
And I can’t do anything about it ???? #depression  pic.twitter.com/xviBD0HpaE,1
"""I used to think that the worst thing in life was to end up alone. It's not. The worst thing in life is to end up with people who make you feel alone"".  #RobinWilliams #loneliness",0
You try hard to forget the person whom you loved more than yourself.  #loneliness #brokenheart pic.twitter.com/SzLSq8MsNQ,0
"sometimes loneliness is more than just being alone in life. it's the idea of doubt, loss and emptiness. it can be having a family but yet noone to talk to about your problems.   #loneliness #selfcare #mood",0
"What I don't know is how to fight the #loneliness. Lonely at work, lonely at home. Me, my thoughts and silence. You can build a very awful depression on it, doubt it that one can build a positive and happy person from a shit like that. But one can always try, I'll. Advise welcome",1
"THIS IS #REALITY TRYING TO #DRAG ME DOWN...DEPRIVING ME OF MY PEACE AND MY SLEEP. THE MISCHIEVOUS ELF REPRESENTS THE REMINDER OF MY #LONELINESS, THE DISCOMFORT THE BOY IS EXPERIENCING REPRESENTS HOW MY PAIN IS CONSTANT AND SHARP...I DON'T EXIST TO ANYONE ON TWITTER OR ANYWHERE.????  pic.twitter.com/IrVVVMNkMO",1
If medical doctors could be trained to assess loneliness and have more places to refer their lonely patients to (other than the pharmacy for their anti-depressant) we may be able to calm the tsunami of loneliness in our country. #loneliness  pic.twitter.com/sIePoRLeRV,0
